,ΚΩΔΙΚΟΣ ΤΟΜΕΑ,ΟΔΟΣ,ΜΕΣΟ,ΑΠΟ,ΕΩΣ,ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΔΙΕΥΘΥΝΣΗ,Latitude,Longitude
112,210,ΠΛΑΤΩΝΟΣ,43,39,47,19,"ΠΛΑΤΩΝΟΣ 43, ΘΕΣΣΑΛΟΝΙΚΗ",40.63736212195676,22.94871421755783
113,211,ΕΥΡΙΠΙΔΟΥ,6,2,8,12,"ΕΥΡΙΠΙΔΟΥ 6, ΘΕΣΣΑΛΟΝΙΚΗ",40.63691231246888,22.95000214633305
114,213,ΑΧΕΙΡΟΠΟΙΗΤΟΥ,5,3,5,11,"ΑΧΕΙΡΟΠΟΙΗΤΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63522937836342,22.94862898046936
115,214,ΧΡΙΣΤΟΠΟΥΛΟΥ,3,1,5,20,"ΧΡΙΣΤΟΠΟΥΛΟΥ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.63492114314304,22.949032253633256
116,216,ΧΡΙΣΤΟΠΟΥΛΟΥ,14,8,16,7,"ΧΡΙΣΤΟΠΟΥΛΟΥ 14, ΘΕΣΣΑΛΟΝΙΚΗ",40.63557946319106,22.9496530415172
117,218,ΠΕΤΡΟΠΟΥΛΑΚΙΔΩΝ,5,1,7,14,"ΠΕΤΡΟΠΟΥΛΑΚΙΔΩΝ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63649682701903,22.950536234043994
118,219,ΣΩΚΡΑΤΟΥΣ,6,2,8,20,"ΣΩΚΡΑΤΟΥΣ 6, ΘΕΣΣΑΛΟΝΙΚΗ",40.63410022593523,22.94884760852245
119,221,ΣΩΚΡΑΤΟΥΣ,11,7,13,19,"ΣΩΚΡΑΤΟΥΣ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63465259796335,22.949577187772604
120,223,ΜΟΙΡΑΡΧΟΥ ΔΗΜΗΤΡΙΟΥ ΚΟΥΦΙΤΣΑ,1,1,1,8,"ΜΟΙΡΑΡΧΟΥ ΔΗΜΗΤΡΙΟΥ ΚΟΥΦΙΤΣΑ 1, ΘΕΣΣΑΛΟΝΙΚΗ",40.63556430585164,22.950384806481765
121,225,ΜΟΙΡΑΡΧΟΥ ΔΗΜΗΤΡΙΟΥ ΚΟΥΦΙΤΣΑ,14,10,18,27,"ΜΟΙΡΑΡΧΟΥ ΔΗΜΗΤΡΙΟΥ ΚΟΥΦΙΤΣΑ 14, ΘΕΣΣΑΛΟΝΙΚΗ",40.636192637344095,22.95098637519903
122,227,ΙΟΥΛΙΑΝΟΥ,4,2,4,17,"ΙΟΥΛΙΑΝΟΥ 4, ΘΕΣΣΑΛΟΝΙΚΗ",40.63529980010637,22.951033821746403
123,228,ΙΟΥΛΙΑΝΟΥ,11,7,15,28,"ΙΟΥΛΙΑΝΟΥ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63593636681407,22.95158747949653
124,230,ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ,5,3,7,8,"ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63455473954325,22.951157850664888
125,231,ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ,11,9,11,6,"ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63506666389361,22.95160648685469
126,232,ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ,18,14,22,15,"ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ 18, ΘΕΣΣΑΛΟΝΙΚΗ",40.6356507656239,22.952174642742406
127,236,ΑΡΡΙΑΝΟΥ,3,1,3,22,"ΑΡΡΙΑΝΟΥ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.63374480530282,22.951269397219484
128,237,ΑΡΡΙΑΝΟΥ,11,7,13,25,"ΑΡΡΙΑΝΟΥ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63423511435223,22.95168307089959
129,238,ΑΡΡΙΑΝΟΥ,17,15,19,15,"ΑΡΡΙΑΝΟΥ 17, ΘΕΣΣΑΛΟΝΙΚΗ",40.63476798408215,22.95218307529688
130,239,ΔΗΜ. ΓΟΥΝΑΡΗ,47,43,49,20,"ΔΗΜ. ΓΟΥΝΑΡΗ 47, ΘΕΣΣΑΛΟΝΙΚΗ",40.632640934283536,22.95197165496037
131,240,ΔΗΜ. ΓΟΥΝΑΡΗ,57,51,63,57,"ΔΗΜ. ΓΟΥΝΑΡΗ 57, ΘΕΣΣΑΛΟΝΙΚΗ",40.634246092764,22.953776928586542
132,242,ΔΗΜ. ΓΟΥΝΑΡΗ,67,65,69,29,"ΔΗΜ. ΓΟΥΝΑΡΗ 67, ΘΕΣΣΑΛΟΝΙΚΗ",40.63496541564929,22.954448596675448
133,245,ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,0,0,0,51,"ΕΘ. ΑΜΥΝΗΣ 000, ΘΕΣΣΑΛΟΝΙΚΗ",40.63366663709646,22.955792804423385
134,247,ΙΟΥΣΤΙΝΙΑΝΟΥ,17,13,23,23,"ΙΟΥΣΤΙΝΙΑΝΟΥ 17, ΘΕΣΣΑΛΟΝΙΚΗ",40.63758445002442,22.9430976886082
135,249,ΛΕΩΦ. 3ΗΣ ΣΕΠΤΕΜΒΡΙΟΥ,25,17,33,94,"ΛΕΩΦ. 3ΗΣ ΣΕΠΤΕΜΒΡΙΟΥ 25, ΘΕΣΣΑΛΟΝΙΚΗ",40.62536866581741,22.957332377064
136,250,ΛΕΩΦ. 3ΗΣ ΣΕΠΤΕΜΒΡΙΟΥ,14,12,16,28,"ΛΕΩΦ. 3ΗΣ ΣΕΠΤΕΜΒΡΙΟΥ 14, ΘΕΣΣΑΛΟΝΙΚΗ",40.62455535534955,22.954128497767304
137,255,ΟΛΥΜΠΟΥ,94,90,96,22,"ΟΛΥΜΠΟΥ 94,ΘΕΣΣΑΛΟΝΙΚΗ",40.63720987741855,22.948047419904384
138,258,ΦΙΛΙΠΠΟΥ,47,43,51,43,"ΦΙΛΙΠΠΟΥ 47, ΘΕΣΣΑΛΟΝΙΚΗ",40.63653540706648,22.946926581760675
139,16971,ΒΑΣΙΛΕΩΣ ΓΕΩΡΓΙΟΥ,0,0,0,7,"ΒΑΣΙΛΕΩΣ ΓΕΩΡΓΙΟΥ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.62275310447722,22.95317673814979
140,17161,ΓΕΡΜΑΝΟΥ ΝΙΚΟΛΑΟΥ,6,2,10,130,"ΓΕΡΜΑΝΟΥ ΝΙΚΟΛΑΟΥ,6,ΘΕΣΣΑΛΟΝΙΚΗ",40.6262413660399,22.950990685072863
141,17182,ΑΓΓΕΛΑΚΗ,0,0,0,18,"ΑΓΓΕΛΑΚΗ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.62699244874492,22.952938863153182
142,17203,ΜΕΛΑ ΠΑΥΛΟΥ,0,0,0,18,"ΜΕΛΑ ΠΑΥΛΟΥ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.6271643604786,22.948426046347485
143,17254,ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,6,2,10,29,"ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,6,ΘΕΣΣΑΛΟΝΙΚΗ",40.62764568502771,22.95024270896014
144,17361,ΑΓΓΕΛΑΚΗ,7,1,13,21,"ΑΓΓΕΛΑΚΗ,7,ΘΕΣΣΑΛΟΝΙΚΗ",40.6279841706843,22.953098883714645
145,17393,ΜΕΛΑ ΠΑΥΛΟΥ,1,1,1,9,"ΜΕΛΑ ΠΑΥΛΟΥ,1,ΘΕΣΣΑΛΟΝΙΚΗ",40.62824123224808,22.948176869722115
146,17424,ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,16,12,20,13,"ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,16,ΘΕΣΣΑΛΟΝΙΚΗ",40.6283884536301,22.9509137596963
147,17603,ΜΕΛΑ ΠΑΥΛΟΥ,12,8,16,14,"ΜΕΛΑ ΠΑΥΛΟΥ,12,ΘΕΣΣΑΛΟΝΙΚΗ",40.62907693917691,22.947970815449604
148,17622,ΑΓΓΕΛΑΚΗ,21,15,25,16,"ΑΓΓΕΛΑΚΗ,21,ΘΕΣΣΑΛΟΝΙΚΗ",40.62896603530665,22.95323401120176
149,17734,ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,34,34,34,4,"ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,34,ΘΕΣΣΑΛΟΝΙΚΗ",40.629788972503846,22.952202561130512
150,17742,ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,19,11,25,29,"ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,19,ΘΕΣΣΑΛΟΝΙΚΗ",40.62930952916248,22.951677565391552
151,17813,ΜΗΤΡΟΠΟΛΕΩΣ,111,103,119,15,"ΜΗΤΡΟΠΟΛΕΩΣ,111,ΘΕΣΣΑΛΟΝΙΚΗ",40.62927067686164,22.9471247622861
152,17963,ΜΗΤΡΟΠΟΛΕΩΣ,99,95,101,6,"ΜΗΤΡΟΠΟΛΕΩΣ,99,ΘΕΣΣΑΛΟΝΙΚΗ",40.62980630601202,22.94631814296703
153,18022,ΑΓΓΕΛΑΚΗ,35,27,41,18,"ΑΓΓΕΛΑΚΗ,35,ΘΕΣΣΑΛΟΝΙΚΗ",40.63000015564542,22.95336222122724
154,18024,ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,42,36,46,28,"ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,42,ΘΕΣΣΑΛΟΝΙΚΗ",40.63021746841253,22.95261696242492
155,18071,ΜΕΛΑ ΠΑΥΛΟΥ,19,15,23,21,"ΜΕΛΑ ΠΑΥΛΟΥ,19,ΘΕΣΣΑΛΟΝΙΚΗ",40.63043984727455,22.94755404085424
156,18143,ΜΗΤΡΟΠΟΛΕΩΣ,85,79,93,16,"ΜΗΤΡΟΠΟΛΕΩΣ,85,ΘΕΣΣΑΛΟΝΙΚΗ",40.63040674324687,22.945392042461147
157,18144,ΚΟΥΣΚΟΥΡΑ,6,4,10,9,"ΚΟΥΣΚΟΥΡΑ,6,ΘΕΣΣΑΛΟΝΙΚΗ",40.6308739722525,22.945249656354253
158,18224,ΑΓΙΑΣ ΣΟΦΙΑΣ,6,6,6,6,"ΑΓΙΑΣ ΣΟΦΙΑΣ,6,ΘΕΣΣΑΛΟΝΙΚΗ",40.63109669530581,22.94365259614033
159,18251,ΜΕΛΑ ΠΑΥΛΟΥ,27,25,29,11,"ΜΕΛΑ ΠΑΥΛΟΥ,27,ΘΕΣΣΑΛΟΝΙΚΗ",40.63113272534556,22.94738482646476
160,18254,Π.Π.ΓΕΡΜΑΝΟΥ,8,2,14,36,"Π.Π.ΓΕΡΜΑΝΟΥ,8,ΘΕΣΣΑΛΟΝΙΚΗ",40.63119050473356,22.94655723323584
161,18282,ΑΓΙΑΣ ΣΟΦΙΑΣ,1,1,1,31,"ΑΓΙΑΣ ΣΟΦΙΑΣ,1,ΘΕΣΣΑΛΟΝΙΚΗ",40.6307038278482,22.94311615434231
162,18342,ΚΑΡΟΛΟΥ ΝΤΗΛ,3,1,3,10,"ΚΑΡΟΛΟΥ ΝΤΗΛ,3,ΘΕΣΣΑΛΟΝΙΚΗ",40.63133611313814,22.9420303398312
163,18472,ΚΑΡΟΛΟΥ ΝΤΗΛ,7,5,7,9,"ΚΑΡΟΛΟΥ ΝΤΗΛ,7,ΘΕΣΣΑΛΟΝΙΚΗ",40.631766634673,22.942479609835768
164,18492,Π.Π.ΓΕΡΜΑΝΟΥ,25,17,31,37,"Π.Π.ΓΕΡΜΑΝΟΥ,25,ΘΕΣΣΑΛΟΝΙΚΗ",40.63162154793532,22.948107736847284
165,18502,ΜΕΛΑ ΠΑΥΛΟΥ,37,35,37,17,"ΜΕΛΑ ΠΑΥΛΟΥ,37,ΘΕΣΣΑΛΟΝΙΚΗ",40.63206043808491,22.94715089545146
166,18512,ΑΓΙΑΣ ΣΟΦΙΑΣ,11,7,13,3,"ΑΓΙΑΣ ΣΟΦΙΑΣ,11,ΘΕΣΣΑΛΟΝΙΚΗ",40.63152707574687,22.94406101332508
167,18513,ΜΗΤΡΟΠΟΛΕΩΣ,59,51,65,7,"ΜΗΤΡΟΠΟΛΕΩΣ,59,ΘΕΣΣΑΛΟΝΙΚΗ",40.63158697239305,22.94334748959392
168,18522,Π.Π.ΓΕΡΜΑΝΟΥ,39,33,45,31,"Π.Π.ΓΕΡΜΑΝΟΥ,39,ΘΕΣΣΑΛΟΝΙΚΗ",40.63207266562495,22.950055242718776
169,18632,ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,0,0,0,60,"ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.63204893278488,22.954175054712927
170,18661,ΚΑΛΑΠΟΘΑΚΗ,18,14,20,6,"ΚΑΛΑΠΟΘΑΚΗ,18,ΘΕΣΣΑΛΟΝΙΚΗ",40.633034041724606,22.939856059854748
171,18683,ΜΗΤΡΟΠΟΛΕΩΣ,43,37,49,5,"ΜΗΤΡΟΠΟΛΕΩΣ,43,ΘΕΣΣΑΛΟΝΙΚΗ",40.63225195525023,22.94202932729988
172,18752,ΙΑΣΩΝΙΔΟΥ,5,1,7,40,"ΙΑΣΩΝΙΔΟΥ,5,ΘΕΣΣΑΛΟΝΙΚΗ",40.63329239048655,22.950704513039312
173,18874,ΚΕΡΑΜΟΠΟΥΛΟΥ,11,11,11,9,"ΚΕΡΑΜΟΠΟΥΛΟΥ,11,ΘΕΣΣΑΛΟΝΙΚΗ",40.63291392478073,22.947470694905878
174,18931,ΕΡΜΟΥ,48,42,52,21,"ΕΡΜΟΥ,48,ΘΕΣΣΑΛΟΝΙΚΗ",40.63358659519208,22.945251585630665
175,19002,ΚΑΡΟΛΟΥ ΝΤΗΛ,25,19,29,16,"ΚΑΡΟΛΟΥ ΝΤΗΛ,25,ΘΕΣΣΑΛΟΝΙΚΗ",40.63303555554762,22.943765973380252
176,19033,ΜΗΤΡΟΠΟΛΕΩΣ,29,23,35,2,"ΜΗΤΡΟΠΟΛΕΩΣ,29,ΘΕΣΣΑΛΟΝΙΚΗ",40.63328965183877,22.940387436220853
177,19073,ΚΕΡΑΜΟΠΟΥΛΟΥ,3,1,5,6,"ΚΕΡΑΜΟΠΟΥΛΟΥ,3,ΘΕΣΣΑΛΟΝΙΚΗ",40.63340877629008,22.946494636111314
178,19141,ΚΑΣΤΡΙΤΣΙΟΥ,8,2,14,13,"ΚΑΣΤΡΙΤΣΙΟΥ,8,ΘΕΣΣΑΛΟΝΙΚΗ",40.63431913307497,22.94572374666811
179,19142,ΑΓΙΑΣ ΣΟΦΙΑΣ,35,33,37,10,"ΑΓΙΑΣ ΣΟΦΙΑΣ,35,ΘΕΣΣΑΛΟΝΙΚΗ",40.63389288231848,22.946093103748517
180,19143,ΕΡΜΟΥ,73,69,77,21,"ΕΡΜΟΥ,73,ΘΕΣΣΑΛΟΝΙΚΗ",40.63378923747346,22.945270604310505
181,19144,ΚΑΡΟΛΟΥ ΝΤΗΛ,34,32,38,13,"ΚΑΡΟΛΟΥ ΝΤΗΛ,34,ΘΕΣΣΑΛΟΝΙΚΗ",40.63428699336345,22.94496528785139
182,19151,ΕΡΜΟΥ,36,30,40,16,"ΕΡΜΟΥ,36,ΘΕΣΣΑΛΟΝΙΚΗ",40.63419729302854,22.94417562928346
183,19152,ΚΑΡΟΛΟΥ ΝΤΗΛ,33,31,33,17,"ΚΑΡΟΛΟΥ ΝΤΗΛ,33,ΘΕΣΣΑΛΟΝΙΚΗ",40.63373977002266,22.94442765781678
184,19163,ΜΗΤΡΟΠΟΛΕΩΣ,19,17,21,7,"ΜΗΤΡΟΠΟΛΕΩΣ,19,ΘΕΣΣΑΛΟΝΙΚΗ",40.63391034875704,22.939299593383662
185,19221,ΒΑΣ. ΗΡΑΚΛΕΙΟΥ,30,26,34,10,"ΒΑΣ. ΗΡΑΚΛΕΙΟΥ,30,ΘΕΣΣΑΛΟΝΙΚΗ",40.63434852063541,22.94193845985478
186,19282,ΒΕΝΙΖΕΛΟΥ ΕΛ.,3,1,5,5,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,3,ΘΕΣΣΑΛΟΝΙΚΗ",40.6344417105454,22.93919791189842
187,19384,ΓΕΝΝΑΔΙΟΥ ΜΗΤΡ.,6,4,8,9,"ΓΕΝΝΑΔΙΟΥ ΜΗΤΡ.,6,ΘΕΣΣΑΛΟΝΙΚΗ",40.63498550664003,22.94514845687459
188,19414,ΑΓΙΑΣ ΣΟΦΙΑΣ,0,0,0,14,"ΑΓΙΑΣ ΣΟΦΙΑΣ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.635170093511874,22.947634334927837
189,19441,ΒΑΣ. ΗΡΑΚΛΕΙΟΥ,22,18,24,12,"ΒΑΣ. ΗΡΑΚΛΕΙΟΥ,22,ΘΕΣΣΑΛΟΝΙΚΗ",40.63511653765048,22.940660418402608
190,19444,ΒΕΝΙΖΕΛΟΥ ΕΛ.,22,18,26,16,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,22,ΘΕΣΣΑΛΟΝΙΚΗ",40.63506518075173,22.9399738132135
191,19594,ΑΓΙΑΣ ΣΟΦΙΑΣ,58,56,60,12,"ΑΓΙΑΣ ΣΟΦΙΑΣ,58,ΘΕΣΣΑΛΟΝΙΚΗ",40.63566411656779,22.94806637377384
192,19662,ΚΟΜΝΗΝΩΝ,21,17,23,14,"ΚΟΜΝΗΝΩΝ,21,ΘΕΣΣΑΛΟΝΙΚΗ",40.635266616654135,22.941483520680094
193,19664,ΒΕΝΙΖΕΛΟΥ ΕΛ.,32,28,34,12,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,32,ΘΕΣΣΑΛΟΝΙΚΗ",40.63566016897649,22.94063105645993
194,19733,ΕΡΜΟΥ,27,23,31,11,"ΕΡΜΟΥ,27,ΘΕΣΣΑΛΟΝΙΚΗ",40.635797396322495,22.941142626163373
195,19754,ΔΡΑΓΟΥΜΗ Ι.,12,10,12,23,"ΔΡΑΓΟΥΜΗ Ι.,12,ΘΕΣΣΑΛΟΝΙΚΗ",40.63580018504691,22.939331150471727
196,19813,ΕΡΜΟΥ,39,33,43,14,"ΕΡΜΟΥ,39,ΘΕΣΣΑΛΟΝΙΚΗ",40.63522975245843,22.94221132978053
197,20043,ΕΡΜΟΥ,17,11,21,23,"ΕΡΜΟΥ,17,ΘΕΣΣΑΛΟΝΙΚΗ",40.63616207064175,22.940444148207977
198,20082,ΒΕΝΙΖΕΛΟΥ ΕΛ.,31,25,37,10,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,31,ΘΕΣΣΑΛΟΝΙΚΗ",40.63649696784763,22.94141865290765
199,20132,ΔΡΑΓΟΥΜΗ Ι.,27,25,27,5,"ΔΡΑΓΟΥΜΗ Ι.,27,ΘΕΣΣΑΛΟΝΙΚΗ",40.63629461361456,22.939675210890957
200,20183,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,131,129,133,24,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,131,ΘΕΣΣΑΛΟΝΙΚΗ",40.63624630618483,22.952268336209087
201,20213,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,127,125,127,16,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,127,ΘΕΣΣΑΛΟΝΙΚΗ",40.63662133121015,22.951553527495268
202,20362,ΧΑΛΚΕΩΝ,13,11,15,21,"ΧΑΛΚΕΩΝ,13,ΘΕΣΣΑΛΟΝΙΚΗ",40.6367617901994,22.94322559851144
203,20471,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,118,116,118,24,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,118,ΘΕΣΣΑΛΟΝΙΚΗ",40.6374852799512,22.9491777619626
204,20548,ΦΙΛΙΠΠΟΥ,0,0,0,59,"ΦΙΛΙΠΠΟΥ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.63645609355268,22.94626813406837
205,20593,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,115,113,117,8,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,115,ΘΕΣΣΑΛΟΝΙΚΗ",40.63707002821421,22.950560337038265
206,20603,ΦΡΑΓΚΩΝ,19,17,19,28,"ΦΡΑΓΚΩΝ,19,ΘΕΣΣΑΛΟΝΙΚΗ",40.63735290398291,22.937841294319536
207,20672,ΧΑΛΚΕΩΝ,25,21,29,64,"ΧΑΛΚΕΩΝ,25,ΘΕΣΣΑΛΟΝΙΚΗ",40.63757429814565,22.94397024085449
208,20703,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,107,103,111,9,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,107,ΘΕΣΣΑΛΟΝΙΚΗ",40.63737144150255,22.94992456979184
209,20744,ΔΡΑΓΟΥΜΗ Ι.,36,32,38,19,"ΔΡΑΓΟΥΜΗ Ι.,36,ΘΕΣΣΑΛΟΝΙΚΗ",40.63812992114395,22.941452892084047
210,20783,ΦΙΛΙΠΠΟΥ,37,37,37,60,"ΦΙΛΙΠΠΟΥ,37,ΘΕΣΣΑΛΟΝΙΚΗ",40.63722116223093,22.945624505662657
211,20843,ΦΙΛΙΠΠΟΥ,27,21,35,37,"ΦΙΛΙΠΠΟΥ,27,ΘΕΣΣΑΛΟΝΙΚΗ",40.63805957213851,22.94405054076721
212,20923,ΦΡΑΓΚΩΝ,13,11,13,21,"ΦΡΑΓΚΩΝ,13,ΘΕΣΣΑΛΟΝΙΚΗ",40.63808735106238,22.93649039264654
213,20974,ΔΡΑΓΟΥΜΗ Ι.,46,40,50,27,"ΔΡΑΓΟΥΜΗ Ι.,46,ΘΕΣΣΑΛΟΝΙΚΗ",40.63871667266943,22.94201069542257
214,21023,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,89,83,95,27,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,89,ΘΕΣΣΑΛΟΝΙΚΗ",40.63805638790069,22.948534614103583
215,21183,ΦΙΛΙΠΠΟΥ,15,9,19,23,"ΦΙΛΙΠΠΟΥ,15,ΘΕΣΣΑΛΟΝΙΚΗ",40.63871850829364,22.94276939542255
216,21312,ΑΝΤΙΓΩΝΙΔΩΝ,3,1,5,7,"ΑΝΤΙΓΩΝΙΔΩΝ,3,ΘΕΣΣΑΛΟΝΙΚΗ",40.63912373735164,22.938957286053995
217,21351,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,76,70,84,29,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,76,ΘΕΣΣΑΛΟΝΙΚΗ",40.63952591084416,22.94546825351553
218,21453,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,79,75,81,33,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,79,ΘΕΣΣΑΛΟΝΙΚΗ",40.63879345499296,22.947107023138383
219,21502,ΔΡΑΓΟΥΜΗ Ι.,69,61,75,24,"ΔΡΑΓΟΥΜΗ Ι.,69,ΘΕΣΣΑΛΟΝΙΚΗ",40.639491650874525,22.9426650101683
220,21591,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,0,0,0,10,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.64029958215323,22.944065597564563
221,21612,ΑΝΤΙΓΩΝΙΔΩΝ,15,7,23,26,"ΑΝΤΙΓΩΝΙΔΩΝ,15,ΘΕΣΣΑΛΟΝΙΚΗ",40.63973078724386,22.939573971011114
222,28151,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,174,174,174,24,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,174,ΘΕΣΣΑΛΟΝΙΚΗ",40.63464989774909,22.95559797596677
